,texto1.txt,texto10.txt,texto2.txt,texto3.txt,texto4.txt,texto5.txt,texto6.txt,texto7.txt,texto8.txt,texto9.txt
texto1.txt,0.9999999999999958,0.08656968104521143,0.1264062227701677,0.14165404430301995,0.14581509825897332,0.03239618951070714,0.054530892773048095,0.03811683742601886,0.038386721700935586,0.07227425012131226
texto10.txt,0.08656968104521143,1.0,0.18436224242519572,0.16226495251296508,0.12731182060583182,0.050929415518454764,0.09359771192686658,0.04109080414342946,0.0551113541483845,0.10342469761227427
texto2.txt,0.1264062227701677,0.18436224242519572,0.9999999999999997,0.21536185754416876,0.1736185830646702,0.06003194027593316,0.10567146642800274,0.059445457197684015,0.07044592314012499,0.17394841000852826
texto3.txt,0.14165404430301995,0.16226495251296508,0.21536185754416876,0.9999999999999999,0.2380352003522324,0.06937842121154467,0.1368092757954375,0.05963905871258926,0.08556090111062903,0.2000405242877725
texto4.txt,0.14581509825897332,0.12731182060583182,0.1736185830646702,0.2380352003522324,0.9999999999999969,0.07078495441973807,0.1007966485303582,0.058159194612092194,0.04155750200994899,0.16679028441276406
texto5.txt,0.03239618951070714,0.050929415518454764,0.06003194027593316,0.06937842121154467,0.07078495441973807,1.0,0.10476117248467376,0.060776445528628695,0.026625176394152558,0.04827509877024789
texto6.txt,0.054530892773048095,0.09359771192686658,0.10567146642800274,0.1368092757954375,0.1007966485303582,0.10476117248467376,0.999999999999997,0.0762523201069894,0.13835582385736772,0.09518766500331977
texto7.txt,0.03811683742601886,0.04109080414342946,0.059445457197684015,0.05963905871258926,0.058159194612092194,0.060776445528628695,0.0762523201069894,1.0,0.020165147818250243,0.04801619796757057
texto8.txt,0.038386721700935586,0.0551113541483845,0.07044592314012499,0.08556090111062903,0.04155750200994899,0.026625176394152558,0.13835582385736772,0.020165147818250243,0.9999999999999986,0.04047162806151385
texto9.txt,0.07227425012131226,0.10342469761227427,0.17394841000852826,0.2000405242877725,0.16679028441276406,0.04827509877024789,0.09518766500331977,0.04801619796757057,0.04047162806151385,0.9999999999999974
