,documents-01.txt,documents-02.txt,documents-03.txt,documents-04.txt,documents-05.txt,documents-06.txt,documents-07.txt,documents-08.txt,documents-09.txt,documents-10.txt
documents-01.txt,0.9999999999999996,0.15320115625564742,0.6011310248431146,0.057205457658907145,0.08345143809157382,0.13705339476757236,0.09549896732336165,0.12342183250139954,0.15068154183998347,0.03771437691779462
documents-02.txt,0.15320115625564742,0.9999999999999998,0.15110273920318654,0.06893801719841287,0.27043251593344275,0.2991077560490544,0.258069733396309,0.263901565418289,0.2829148866291217,0.07160577901635899
documents-03.txt,0.6011310248431146,0.15110273920318654,1.0,0.05116257756596984,0.10670046924375573,0.13214195683944993,0.10599108843968244,0.12945803915065393,0.14711154885705466,0.038364875654502265
documents-04.txt,0.057205457658907145,0.06893801719841287,0.05116257756596984,0.9999999999999996,0.07018406695953067,0.08187195481528454,0.0812097772084018,0.06492419792539869,0.23986143276545027,0.3743056975033091
documents-05.txt,0.08345143809157382,0.27043251593344275,0.10670046924375573,0.07018406695953067,1.0,0.3196673042534775,0.28084193171772437,0.3315560018616267,0.2145223472548031,0.06057684275564562
documents-06.txt,0.13705339476757236,0.2991077560490544,0.13214195683944993,0.08187195481528454,0.3196673042534775,1.0,0.2726286260598135,0.29332972012753994,0.2894945504180986,0.07640879757049185
documents-07.txt,0.09549896732336165,0.258069733396309,0.10599108843968244,0.0812097772084018,0.28084193171772437,0.2726286260598135,0.9999999999999997,0.28155385499575797,0.24061949737369318,0.08870130850520845
documents-08.txt,0.12342183250139954,0.263901565418289,0.12945803915065393,0.06492419792539869,0.3315560018616267,0.29332972012753994,0.28155385499575797,0.9999999999999998,0.23221779843680262,0.055677281824295335
documents-09.txt,0.15068154183998347,0.2829148866291217,0.14711154885705466,0.23986143276545027,0.2145223472548031,0.2894945504180986,0.24061949737369318,0.23221779843680262,1.0,0.14077866348848436
documents-10.txt,0.03771437691779462,0.07160577901635899,0.038364875654502265,0.3743056975033091,0.06057684275564562,0.07640879757049185,0.08870130850520845,0.055677281824295335,0.14077866348848436,1.0
